"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","Shropshire","E06000051","Total",306129,15698,9392,6240,17915,3905,8113,6933,16619,15619,55358,64738,22300,34212,20680,5571,2836,42.6,44.0
"2011","Stoke-on-Trent","E06000021","Total",249008,17092,8935,5254,14260,2825,6233,6977,19089,18156,49752,46896,14721,20984,13119,3296,1419,38.5,38.0
"2011","Telford and Wrekin","E06000020","Total",166641,11344,6185,3822,10594,2256,4675,4565,10863,10888,34329,33021,10010,13928,7481,1771,909,38.1,38.0
"2011","Staffordshire","E10000028","Total",848489,46089,27401,17444,48881,10251,21510,21022,50940,47000,164651,177221,59225,87789,50278,12496,6291,41.3,42.0
"2011","Warwickshire","E10000031","Total",545474,31364,17751,11429,31267,6588,13514,12383,32734,32277,108918,111861,36117,53826,32288,8663,4494,40.9,41.0
"2011","Birmingham","E08000025","Total",1073045,81901,45952,28408,73659,14762,29453,36063,93914,85601,222658,176026,46435,70102,49043,12656,6412,35.3,32.0
"2011","Coventry","E08000026","Total",316960,22476,11359,7043,17831,4145,7571,12526,30610,24848,63574,53371,15356,24015,15543,4404,2288,36.8,34.0
"2011","Dudley","E08000027","Total",312925,18867,10971,6963,18539,4164,8226,7473,18141,18947,61670,61220,19547,31502,19797,4673,2225,40.5,41.0
"2011","Sandwell","E08000028","Total",308063,22669,12529,7665,19333,4038,8142,8040,20793,23085,64814,54884,15230,24520,16136,4096,2089,37.4,36.0
"2011","Solihull","E08000029","Total",206674,11555,7099,4612,13111,2804,5836,4766,11365,10664,38418,43018,13830,20463,13632,3621,1880,41.3,42.0
"2011","Walsall","E08000030","Total",269323,18373,10401,6570,17266,3590,7237,6840,17504,17690,52593,50223,15221,24666,15752,3706,1691,38.8,39.0
"2011","Wolverhampton","E08000031","Total",249470,16687,8971,5471,15095,3199,6705,6824,17988,17947,51399,45574,12981,20565,14468,3768,1828,38.5,37.0
"2011","Worcestershire","E10000034","Total",566169,31106,18312,11701,32513,7035,14287,13152,30918,30883,108662,117825,40688,58621,35581,9760,5125,41.8,43.0
"2011","Bedford","E06000055","Total",157479,10099,5742,3634,9955,2178,4267,4005,9640,10134,32838,30816,9303,12761,8680,2297,1130,38.9,39.0
"2011","Central Bedfordshire","E06000056","Total",254381,16009,9162,5805,15480,3323,6571,5441,13598,14484,53597,54730,16292,21945,13232,3175,1537,39.6,40.0
"2011","Luton","E06000032","Total",203201,16592,8809,5412,13211,2732,5425,5404,16621,18812,43926,34030,8346,12644,8440,1877,920,34.8,32.0
"2011","Peterborough","E06000031","Total",183631,13904,7088,4336,11349,2459,4741,4298,12502,15046,40315,33333,9382,12701,8829,2258,1090,36.9,35.0
"2011","Southend-on-Sea","E06000033","Total",173658,11213,5783,3715,10194,2132,4322,3730,9832,11282,36929,33309,10419,15184,10548,3223,1843,40.2,40.0
